"currently_testing","site","water_body","borough_state","neighborhood_town","latitude","longitude","last_sampled","district_council_number","x2021_lab_analysis_by"
true,"Newtown Creek, 2nd Street Kayak Launch","Newtown Creek","Queens","Hunters Point",40.7385105,-73.959961,2022,"26","Billion Oyster Project's Williamsburg Field Station"
true,"Newtown Creek, Apollo Street","Newtown Creek","Brooklyn","Greenpoint",40.7292914,-73.93728,2022,"33","Billion Oyster Project's Williamsburg Field Station"
true,"Newtown Creek, Dutch Kills (head)","Newtown Creek","Queens","Hunters Point",40.7429327,-73.939319,2022,"26","Billion Oyster Project's Williamsburg Field Station"
false,"Newtown Creek, Dutch Kills (mouth)","Newtown Creek","Queens","Hunters Point",40.7378927,-73.945885,2020,"26",
true,"Newtown Creek, East Branch","Newtown Creek","Queens","Maspeth",40.7167533,-73.922925,2022,"34","Billion Oyster Project's Williamsburg Field Station"
true,"Newtown Creek, English Kills","Newtown Creek","Brooklyn","East Williamsburg",40.7120691,-73.931294,2022,"34","Billion Oyster Project's Williamsburg Field Station"
false,"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge","Newtown Creek","Brooklyn","Greenpoint",40.739025,-73.952972,2021,"26","Billion Oyster Project's Williamsburg Field Station"
false,"Newtown Creek, North Henry Street","Newtown Creek","Brooklyn","Greenpoint",40.7355189,-73.945091,2016,"33",
true,"Newtown Creek, Pulaski Bridge, Queens","Newtown Creek","Queens","Long Island City",40.739534,-73.952244,2023,"26",
false,"Newtown Creek, Turning Basin","Newtown Creek","Queens","Maspeth",40.7248845,-73.9258,2020,"34",
false,"Newtown Creek, Whale Creek","Newtown Creek","Brooklyn","Greenpoint",40.736974,-73.94684,2012,"33",
true,"Prospect Park Lake","Lake","Brooklyn","Prospect Lefferts Gardens",40.655305,-73.96421,2021,"39","Billion Oyster Project's Williamsburg Field Station"
true,"Rahway River, Riverfront Park","Rahway River","New Jersey","Rahway",40.599456,-74.268318,2023,"N/A","Interstate Environmental Commission"
true,"Rahway River, Rahway Valley Sewerage Authority","Rahway River","New Jersey","Rahway",40.601792,-74.256497,2023,"N/A","Interstate Environmental Commission"
true,"Rahway River, Carteret Waterfront Park","Rahway River","New Jersey","Carteret",40.571734,-74.212477,2023,"N/A","Interstate Environmental Commission"
true,"Raritan Bay, Great Kills Beach","Lower Bay","Staten Island","Great Kills",40.5422,-74.1254,2022,"51","Monsignor Farrell High School"
true,"Raritan Bay, Midlland Beach","Lower Bay","Staten Island","Great Kills",40.572109,-74.08794,2023,"50","Monsignor Farrell High School"
true,"Raritan Bay, New Dorp Beach","Lower Bay","Staten Island","Great Kills",40.5665366,-74.0914556,2023,"50","Monsignor Farrell High School"
true,"Raritan Bay, Oakwood Beach","Lower Bay","Staten Island","Great Kills",40.549642,-74.111618,2022,"50","Monsignor Farrell High School"
