currently_testing,site,water_body,borough_state,neighborhood_town,latitude,longitude,last_sampled,district_council_number,2021_lab_analysis_by:,closest_tide_area,closest_tide_Name,closest_tide_Id,closest_tide_Lat,closest_tide_Lon,closest_tide_Predictions,closest_tide_dist
FALSE,"Hudson River, West 133rd Street/Piers Park Kayak Dock",Hudson River,Manhattan,West Harlem,40.8206007,-73.959577,2019,7,NA,Hudson River,"Edgewater, N.J.",8530505,40.8133,-73.9783,Subordinate,1.772426694021716
FALSE,"Hudson River, West 145th Street",Hudson River,Manhattan,Hamilton Heights,40.8283762,-73.954165,2020,7,NA,Hudson River,"Edgewater, N.J.",8530505,40.8133,-73.9783,Subordinate,2.633413917702329
FALSE,"Hudson River, West 154th Street",Hudson River,Manhattan,Hamilton Heights,40.832214,-73.951485,2015,7,NA,Hudson River,"Edgewater, N.J.",8530505,40.8133,-73.9783,Subordinate,3.0845300810432335
TRUE,"Hudson River, West 170th St. (Riverside Park)",Hudson River,Manhattan,Washington Heights,40.846403,-73.9463675,2022,10,NA,Hudson River,"Dyckman Street, Ferry Slip",8518902,40.8683,-73.9333,Harmonic,2.6713682706787156
FALSE,"Hudson River, West 172nd Street",Hudson River,Manhattan,Washington Heights,40.8461433,-73.9464,2020,10,NA,Hudson River,"Dyckman Street, Ferry Slip",8518902,40.8683,-73.9333,Harmonic,2.6988303665748212
FALSE,"Hudson River, West 72nd Street Kayak Launch",Hudson River,Manhattan,Upper West Side,40.781422,-73.98835,2018,6,NA,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,3.113689480594116
FALSE,"Hudson River, West 79th Street Boat Basin",Hudson River,Manhattan,Upper West Side,40.7859195,-73.985227,2011,6,NA,Hudson River,"Edgewater, N.J.",8530505,40.8133,-73.9783,Subordinate,3.0999034475406884
TRUE,"Hudson River, Yonkers Paddling and Rowing Club",Hudson River,Yonkers,Getty Square,40.9379388,-73.903492,2022,N/A,Sarah Lawrence Center for the Urban River at Beczak,Hudson River,"Alpine, N.J.",8530095,40.945,-73.9183,Subordinate,1.4708844043727252
FALSE,"Hutchinson River, Amtrak Bridge",Hutchinson River,Bronx,Baychester,40.8634849,-73.820186,2018,12,NA,"Long Island Sound, north side",New Rochelle,8518490,40.8933,-73.7817,Subordinate,4.632584103843466
FALSE,"Jamaica Bay, Canarsie Pier",Jamaica Bay,Brooklyn,Canarsie,40.6278942,-73.8837,2018,46,NA,Jamaica Bay,Canarsie,8517381,40.63,-73.885,Subordinate,0.25858075558896026
FALSE,"Jamaica Bay, Gerritsen Creek Kayak Launch (Marine Park Salt Marsh)",Jamaica Bay,Brooklyn,Gerritsen Beach,40.602409,-73.931716,2021,46,Interstate Environmental Commission,Jamaica Bay,Mill Basin,8517519,40.6083,-73.9217,Subordinate,1.0696034883168
TRUE,"Jamaica Bay, Paerdegat Basin (Sebago Canoe Club)",Jamaica Bay,Brooklyn,Canarsie,40.6264122,-73.904386,2022,46,Interstate Environmental Commission,Jamaica Bay,Canarsie,8517381,40.63,-73.885,Subordinate,1.6839527162844306
FALSE,"Jamaica Bay, Plumb Beach",Jamaica Bay,Brooklyn,Gerritsen Beach,40.5824832,-73.920157,2018,46,NA,Jamaica Bay,Plumb Beach Channel,8517531,40.585,-73.925,Subordinate,0.49556396777233386
TRUE,Kissena Lake,Lake,Queens,Flushing,40.74727,-73.80655,2022,20,NA,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,3.996668800537753
TRUE,Little Neck Bay,Little Neck Bay,Queens,Bay Terrace,40.7801708,-73.768804,2022,19,Queens College,"Long Island, Long Island Sound",Willets Point,8516990,40.7933,-73.7817,Harmonic,1.8193701811191143
TRUE,"Newtown Creek, 2nd Street Kayak Launch",Newtown Creek,Queens,Hunters Point,40.7385105,-73.959961,2022,26,Billion Oyster Project's Williamsburg Field Station,East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate,0.2211277788898207
