"site","date","year","month","high_tide","sample_time","bacteria","precip_wk","precip_t0","precip_t1","precip_t2","precip_t3","precip_t4","precip_t5","precip_t6","notes","quality"
"East River, Anable Basin",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 15:00:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"Hudson River, Pier 40",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 12:51:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"East River, Wallabout Channel ",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 11:30:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"Hudson River, Pier 66",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 11:29:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"Newtown Creek, Dutch Kills ",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 09:15:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"Hudson River, JFK Marina",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 08:55:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"Hudson River, Yonkers Paddling and Rowing Club",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 08:40:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"East Rver, Stuyvesant Cove",2012-06-07,2012,6,2012-06-07 11:33:00.000000-0400,2012-06-07 07:42:00.000000-0400,0,0.86,0.01,0.01,0.01,0.18,0.01,0.39,0.25,"","Not Detected"
"Hudson River, Pier 66",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 11:45:00.000000-0400,10,1.36,0,0.34,1.02,0,0,0,0,"","Good"
"East River, Wallabout Channel ",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 11:36:00.000000-0400,10,1.36,0,0.34,1.02,0,0,0,0,"","Good"
"Hudson River, Inwood Canoe Club",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 11:22:00.000000-0400,10,1.36,0,0.34,1.02,0,0,0,0,"","Good"
"Raritan Bay, South Beach",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 08:30:00.000000-0400,20,1.36,0,0.34,1.02,0,0,0,0,"","Good"
"Upper Harbor, 69th Street Pier",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 06:45:00.000000-0400,31,1.36,0,0.34,1.02,0,0,0,0,"","Good"
"East Rver, Stuyvesant Cove",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 09:50:00.000000-0400,52,1.36,0,0.34,1.02,0,0,0,0,"","Fair"
"East River, Pier 1 ",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 08:41:00.000000-0400,52,1.36,0,0.34,1.02,0,0,0,0,"","Fair"
"Newtown Creek, North Brooklyn Community Boathouse/Pulaski Bridge",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 09:38:00.000000-0400,62,1.36,0,0.34,1.02,0,0,0,0,"","Fair"
"East River, Anable Basin",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 07:40:00.000000-0400,108,1.36,0,0.34,1.02,0,0,0,0,"","Unacceptable"
